epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2922.03,1.32398,0.63739,1.04953,0.92537,0.89257,0.93705,0.56766,1.24428,0.54127,1.05525,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3012.8,1.32632,0.63326,1.04749,0.9262,0.89112,0.93607,0.56807,1.24338,0.54022,1.05443,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3103.37,1.31948,0.63119,1.04678,0.92611,0.89059,0.9365,0.56921,1.24173,0.53806,1.05375,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3194.31,1.32065,0.62587,1.04381,0.92451,0.89283,0.93697,0.56943,1.24135,0.53787,1.05336,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3284.93,1.30853,0.62192,1.04247,0.92641,0.89137,0.93702,0.56969,1.24038,0.53678,1.05238,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3375.51,1.30789,0.61964,1.04324,0.9268,0.89143,0.9372,0.5702,1.23946,0.53598,1.05179,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3466.05,1.30089,0.61368,1.04113,0.92721,0.89136,0.93726,0.57011,1.23897,0.5342,1.05076,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3557.1,1.30549,0.61592,1.03663,0.92576,0.89403,0.93759,0.57096,1.23739,0.5324,1.04984,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,3647.53,1.29849,0.60962,1.03505,0.92728,0.89339,0.93813,0.57108,1.23654,0.53077,1.04933,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,3738.08,1.29015,0.56306,1.04682,0.92627,0.89473,0.93834,0.57156,1.23575,0.52911,1.04901,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,3827.99,1.28416,0.55824,1.04567,0.92845,0.89381,0.93874,0.57179,1.2347,0.52795,1.04902,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,3917.87,1.27718,0.55074,1.03968,0.92817,0.8946,0.93895,0.57225,1.23347,0.52684,1.04859,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4007.33,1.26986,0.54797,1.03893,0.92763,0.89549,0.93915,0.57263,1.2327,0.52608,1.0482,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4097.12,1.26668,0.5429,1.03837,0.92754,0.89522,0.9392,0.57279,1.23203,0.52539,1.04802,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4187.02,1.26136,0.53788,1.03638,0.92732,0.89597,0.93905,0.57285,1.23149,0.52517,1.04788,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4276.58,1.25372,0.53217,1.03214,0.92746,0.89551,0.93897,0.57302,1.23098,0.52471,1.04776,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,4366.16,1.25223,0.52963,1.03036,0.92786,0.89585,0.93926,0.57304,1.23057,0.52435,1.04761,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,4455.89,1.24797,0.5251,1.02813,0.92759,0.89584,0.93928,0.57326,1.23016,0.52407,1.04747,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,4545.86,1.24235,0.52096,1.02731,0.92696,0.89655,0.93964,0.57356,1.2299,0.52376,1.04749,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
